text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL,,
"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV",FALSE,24351,NA,2016-12-30 19:46:55,TRUE,NA,814920722208297000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7061,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
Great move on delay (by V. Putin) - I always knew he was very smart!,FALSE,96780,NA,2016-12-30 19:41:33,FALSE,NA,814919370711462000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,32980,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy,FALSE,45340,NA,2016-12-29 14:54:21,FALSE,NA,814484710025994000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,11321,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ,FALSE,51518,NA,2016-12-28 22:06:28,FALSE,NA,814231064847729000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,13910,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!",FALSE,117815,NA,2016-12-28 14:25:11,FALSE,NA,814114980983427000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,34805,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......",FALSE,106482,NA,2016-12-28 14:19:46,FALSE,NA,814113616110752000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,30375,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!,FALSE,118149,NA,2016-12-28 14:07:13,FALSE,NA,814110460761018000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,31983,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!",FALSE,78547,NA,2016-12-28 03:10:07,FALSE,NA,813945096269861000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,19288,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!",FALSE,100121,NA,2016-12-27 21:52:29,FALSE,NA,813865160163099000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,23363,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!",FALSE,67365,NA,2016-12-27 03:06:59,FALSE,NA,813581917215977000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,15266,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!",FALSE,71528,NA,2016-12-27 02:53:20,FALSE,NA,813578484572451000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,17484,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,FALSE,128891,NA,2016-12-26 23:32:28,FALSE,NA,813527932165558000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,30360,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!",FALSE,77596,NA,2016-12-26 21:41:58,FALSE,NA,813500123053490000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,22093,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.",FALSE,91587,NA,2016-12-26 21:36:28,FALSE,NA,813498739923055000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,22402,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
"Merry Christmas and a very, very, very , very Happy New Year to everyone!",FALSE,214114,NA,2016-12-25 17:48:48,FALSE,NA,813079058896536000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,50896,FALSE,FALSE,NA,NA,"New York, NY",en,http://pbs.twimg.com/profile_images/1980294624/DJT_Headshot_V2_normal.jpg,,
